,Stock,Year,Total Returns,Annualized Returns,Max Drawdown,Sharpe Ratio,Win/Loss Ratio,Number of Trades
0,ADANIENT.NS,2019,0.007010269165039107,0.008076688417177146,-0.03540405018058823,0.20161641901077498,0.31521739130434784,3.0
1,ADANIENT.NS,2020,0.17459469604492184,0.1661228360932025,-0.0339850158691406,1.8860297603260745,0.29533678756476683,3.0
2,ADANIENT.NS,2021,0.8107619628906251,0.6841572876759414,-0.18516576682681762,1.7312746660841327,0.8161764705882353,1.0
3,ADANIENT.NS,2022,1.8281453857421877,1.1927422132732188,-0.25580339507245653,2.341440831008549,0.8432835820895522,3.0
4,ADANIENT.NS,2023,0.44706958007812503,0.5750971579439583,-0.42274812783461657,0.8841001901701449,0.36312849162011174,1.0
5,AXISBANK.NS,2019,-0.05648522949218748,-0.05387244698977203,-0.15861620032749058,-0.46661408229707807,0.2736842105263158,3.0
6,AXISBANK.NS,2020,0.007268371582031197,0.009527189286799754,-0.05235966426441607,0.1429254010271674,0.07296137339055794,1.0
7,AXISBANK.NS,2021,-0.060536193847656294,-0.051155754554529906,-0.17979492845004863,-0.3233331954949508,0.4444444444444444,4.0
8,AXISBANK.NS,2022,0.13710467529296855,0.14096944533477068,-0.1458723672363974,1.0009782304560852,0.3279569892473118,3.0
9,AXISBANK.NS,2023,0.15328387451171865,0.15654502337202378,-0.0783220177975803,1.1531837698261005,0.47878787878787876,1.0
10,BAJFINANCE.NS,2019,1.288506103515625,1.0998587581598511,-0.37364686196490227,1.5793496779121925,0.6689655172413793,1.0
11,BAJFINANCE.NS,2020,0.24881713867187494,-53.88505104571675,-1.984866455078125,-1.090350419595678,0.2315270935960591,3.0
12,BAJFINANCE.NS,2021,1.070048828125,3.1578397991827263,-0.8787033360874744,1.3309148601666427,0.6357615894039735,3.0
13,BAJFINANCE.NS,2022,-0.67616796875,-0.13608316374264834,-0.9141911449677969,-0.09555722611109532,0.14883720930232558,1.0
14,BAJFINANCE.NS,2023,0.4502041015625,0.7219444006811753,-0.5016368970930868,0.8557355447730923,0.41040462427745666,1.0
15,BHARTIARTL.NS,2019,0.13591424560546872,0.13821805184674593,-0.037838207210976305,1.317223254649329,0.6351351351351351,3.0
16,BHARTIARTL.NS,2020,-0.10694604492187498,-0.10162008069192523,-0.15699785073336792,-0.6465045398318465,0.26262626262626265,4.0
17,BHARTIARTL.NS,2021,0.06370440673828126,0.06959431139707865,-0.09257903800533018,0.604702304626901,0.2602040816326531,3.0
18,BHARTIARTL.NS,2022,-0.06650042724609373,-0.062259843387918797,-0.15335408849064103,-0.4940035113508361,0.36464088397790057,5.0
19,BHARTIARTL.NS,2023,0.21798999023437493,0.20917631372538484,-0.0503409672891566,2.004507728823301,0.4437869822485207,1.0
20,HCLTECH.NS,2019,0.04420184326171883,0.04870067315145693,-0.07086263291224937,0.5687681094660625,0.6462585034013606,3.0
21,HCLTECH.NS,2020,0.2539425354003906,0.2389832482631704,-0.0714461364746094,1.6218659861594007,0.37362637362637363,3.0
22,HCLTECH.NS,2021,0.22724493408203128,0.22359246432535493,-0.16816615550701508,1.309335259989858,0.436046511627907,5.0
23,HCLTECH.NS,2022,-0.09028991699218736,-0.09309503619108231,-0.10126239013671878,-1.145261793452433,0.03347280334728033,1.0
24,HCLTECH.NS,2023,0.34104785156249995,0.32096084059385227,-0.07767589157297017,1.6988839778463332,0.554140127388535,3.0
25,HDFCBANK.NS,2019,0.1269449462890626,0.14463139562300897,-0.14249586045433527,0.714147210971118,0.6689655172413793,1.0
26,HDFCBANK.NS,2020,0.35490411376953124,0.319987830630332,-0.0935325112328027,1.9322966262629233,0.28205128205128205,1.0
27,HDFCBANK.NS,2021,-0.08389562988281252,-0.06000164207957618,-0.22686789663996232,-0.24788628529948456,0.38764044943820225,3.0
28,HDFCBANK.NS,2022,0.13537780761718743,0.14323003307186793,-0.13742509999990593,0.85912465096235,0.1875,1.0
29,HDFCBANK.NS,2023,-0.03855664062499997,-0.028727598352882286,-0.1712273408322068,-0.1870835612512216,0.3048128342245989,6.0
30,HINDUNILVR.NS,2019,0.12438525390624999,0.1517326935947957,-0.1751541968884447,0.6136421744468314,0.38285714285714284,1.0
31,HINDUNILVR.NS,2020,0.19432800292968744,0.33913341279753695,-0.33802504215812545,0.5853036289429965,0.39664804469273746,5.0
32,HINDUNILVR.NS,2021,-0.14307641601562504,-0.10866822361513219,-0.3876744581204561,-0.3474425423546123,0.45294117647058824,2.0
33,HINDUNILVR.NS,2022,0.41801635742187493,0.40240690508950877,-0.14367076953359392,1.321380366843818,0.35714285714285715,1.0
34,HINDUNILVR.NS,2023,-0.14871411132812495,-0.1429731281723477,-0.2524716962669724,-0.6666870391480038,0.18446601941747573,4.0
35,ICICIBANK.NS,2019,0.13722369384765631,0.13905918037725817,-0.04895969200221051,1.3709999395748067,0.5816993464052288,3.0
36,ICICIBANK.NS,2020,0.07053973388671886,0.07015986661747847,-0.028748277077850437,1.3056381071931447,0.09649122807017543,1.0
37,ICICIBANK.NS,2021,0.14368011474609377,0.14819612158690998,-0.1039606634371999,0.985743601288649,0.625,1.0
38,ICICIBANK.NS,2022,0.06854217529296869,0.07267138610445051,-0.06663701133550226,0.7240530090115519,0.2602040816326531,3.0
39,ICICIBANK.NS,2023,0.09656072998046894,0.10079079603212972,-0.07671105993734084,0.9528111092096988,0.5741935483870968,1.0
40,INFY.NS,2019,0.017458312988281266,0.031350684641088124,-0.14973046709241178,0.1944259727692057,0.6133333333333333,2.0
